es_term,en_term
auriculare,Anterior
parotidea,Parotid
parotídeas,Parotid
supratrochleares,Supratrochlear
nasale,External
palpebrale,Palpebral
transversas,Venae
suboccipital,Suboccipital
batson,Batson
extrarraquídeo,Batson
intrarraquídeo,Epidural
basivertebral,Basivertebral
basivertebrale,Basivertebral
basivertebrales,Basivertebral
spinales,Spinal
esternocleidomastoidea,Sternocleidomastoid
superiore,Superior
inferiore,Inferior
prefrontale,Prefrontal
prefrontales,Prefrontal
occipitales,Occipital
mediae,Middle
anastomotica,Vein
insulares,Insular
peduncular,Peduncular
pedunculares,Peduncular
mesencephalica,Mesencephalic
ophthalmica,Superior
nasofrontal,Nasofrontal
ciliare,Ciliary
episclerale,Episcleral
episclerales,Episcleral
conjunctivale,Conjunctival
labyrinthi,Venae
aqueductus,Cochlear
cochleae,Cochlear
fenestra,Vein
vestibularis,Vestibular
toracoepigástrica,Thoracoepigastric
thoracoepigastrica,Thoracoepigastric
toracoepigástricas,Thoracoepigastric
areolar,Areolar
plexus,Areolar
venosus,Areolar
areolaris,Areolar
hemiazygos,Hemiazygos
hemiácigos,Hemiazygos
esophageae,Esophageal
pericardiaca,Pericardial
lumbalis,Ascending
intervertebralis,Intervertebral
bronchiales,Bronchial
phrenicae,Superior
auriculoventriculares,Atrioventricular
thyroideus,Plexus
thymicae,Thymic
epigastricae,Superior
epigástricas,Superior
subcutanea,Ventral
derechas,Right
intrarrenales,Intrarenal
pampiniforme,Pampiniform
estomáquica,Coronary
dextra,Right
prepilórica,Mayo's
prepylorica,Mayo's
paraumbilicales,Veins
cystica,Cystic
pancreaticae,Pancreatic
pancreatoduodenal,Pancreaticoduodenal
pancreatoduodenales,Pancreaticoduodenal
corta,Short
gastricae,Short
breves,Short
colica,Left
sigmoideae,Sigmoid
sigmoideas,Sigmoid
iliaca,Common
iliolumbar,Iliolumbar
iliolumbalis,Iliolumbar
glúteas,Superior
sacras,Lateral
profundae,Deep
escrotales,Posterior
uterinae,Uterine
uterinus,Uterine
metacarpianas,Dorsal
basilica,V.
basílica,V.
cefálica,Cephalic
cephalica,Cephalic
accessoria,Accessory
antebrachii,Median
intercapitular,Intercapital
intercapitulares,Intercapital
oblícua,Intercapital
radiales,Radial
brachiales,Brachial
pudendas,External
venosum,Plantar
plantare,Plantar
diploica,Diploic
emisaria,Parietal
tentorial,Sinus
herófilo,Sinus
confluencia,Sinus
transversos,Lateral
esfenoparietal,Sphenoparietal
intercarvernoso,Posterior
copremesis,Fecal vomitus
orificio,Ostium
boca,Mouth
raphe,Raphe
palati,Raphe
plicae,Palatine
palatinae,Palatine
transversae,Palatine
caruncula,Sublingual
sublingualis,Sublingual
retromolar,Retromolar
mentolabial,Labiomental
filtrum,Philtrum
superioris,upper
inferioris,Lower
medianus,Median
hioglosa,Aponeurosis
glosohioidea,Aponeurosis
tunica,Tongue
dorsum,dorsum
caecum,foramen
papillae,Foliate
foliatae,Foliate
porus,Taste
gustatorius,Taste
fimbriata,Plica
colmillo,Tusk
mesialis,Facies
distalis,Facies
cuspis,Tooth
cuspidis,Apex
transversalis,Transverse
triangularis,Triangular
clinica,Corona
contactante,Contact
contactus,Contact
cíngulo,Cingulum
cingulum,Tooth
marginalis,Marginal
incisal,Incisal
incisalis,Incisal
cej,CEJ
coronalis,Crown
radicularis,Root
dentinocementaria,Dentinocemental
cementodentinaria,Dentinocemental
amelodentinaria,Dentinoenamel
prismata,Enamel
adamantina,Enamel
dentalis,Upper
designación,1
carnicero,Sectoral
sectorial,Sectoral
bunodonte,Bunodont
lofodonte,Lophodont
selenodonte,Selenodont
deciduo,Primary
caduco,Deciduous
adherida,Attached
gingivoepitelial,Gingival
alveoli,Maxillary
maxillae,Maxillary
perifaríngea,Peripharyngeal
perifaríngeo,Peripharyngeal
retrofaríngea,Retropharyngeal
laterofaríngeo,Parapharyngeal
faringomaxilar,Parapharyngeal
retromaxilar,Retromaxillary
epiglótica,vallecula
valécula,vallecula
glosoepiglótico,Middle
glossoepiglottica,Middle
pharyngeus,Pharyngeal
fosita,Pharyngeal
rosenmüller,Pharyngeal
bursa,Pharyngeal
pharyngealis,Pharyngeal
nervi,Fold
laryngei,Fold
faringobasilar,Pharyngobasilar
tendo,Cricesophageal
cricoesophageus,Cricesophageal
cricoesofágico,Cricesophageal
broncoesofágico,Bronchesophageal
pleuroesofágico,Pleuresophageal
gastroesofágico,LES
periesofágico,Periesophageal
aglandular,Non-glandular
rugosidades,Gastric
mamelones,Area gastrica
areae,Area
foveola,Gastric
foveolae,Gastric
minor,Lesser
plicatus,Margo
gastricus,Magenstrasse
pyloricus,Pyloric
pilóricas,Pyloric
torus,toru
ruminorreticular,Ruminoreticular
ruminales,Ruminal
ruminal,Rumen
reticulomasal,Reticuloomasal
omasal,Omasal
láminas,Omasal
omasales,Omasal
abomasal,Abomasum
quimo,Chyme
kerckring,Circular
vellosidad,Villus
paneth,Paneth
flexura,Flexura
duodeni,Flexura
duodenojejunalis,Duodenojejunal
longitudinalis,Plica
descendens,Second
horizontalis,Pars
periduodenal,Periduodenal
perileal,Peri-ileal
peri-ileal,Peri-ileal
retroileal,Retroileal
ileocecale,Ileocecal
valvae,Frenulum
ilealis,Frenulum
appendicis,Appendix
vermiformis,Appendix
periapendicular,Periappendiceal
colis,Plicae
haustra,Haustra
haustros,Haustra
abolladuras,Haustra
epiploicos,Omental
appendices,Omental
epiploicae,Omental
tenias,Cestoda
mesocólica,Tenia
mesocolica,Tenia
epiploica,Tenia
omentalis,Tenia
libera,Tenia
pericólico,Pericolic
retrocólico,Retrocolic
hemicolon,Left
ileopélvico,Iliopelvic
ileopelviano,Iliopelvic
ampulla,Ampulla
perirrectal,Perirectal
interesfinteriano,White
valvulae,Anal
morgagni,Anal
coprodaeum,Coprodaeum
parotídeo,Parotid
steno,steno
stensen,steno
monoestomática,Monostomatic
poliestomática,Polystomatic
wharton,Wharton
venenosalival,Venenosalivary
spiegel,Spigel
glisson,Hepatic
impressio,Cardiac
desperitonizada,Area
desnuda,Area
cavae,Sulcus
fissura,Fossa
ligamenti,Fossa
venosi,Fossa
conductillo,Portal
interlobulillar,Portal
colangiolos,cholangiole
intralobulillar,Intralobular
hering,Canal
hepatocito,Hepatocyte
hepatocitos,Hepatocyte
disse,Disse
perihepática,Perihepatic
hepatis,Appendix
esophageale,Impressio
renalis,Impressio
suprarenalis,Impressio
subhepática,Subhepatic
vesicae,Gallbladder
biliaris,Gallbladder
collum,gallbladder
heister,Plica
winslow,Lesser
pancreatis,Pancreatic
omentale,Tuber
peripancreático,Peripancreatic
retropancreático,Retropancreatic
urotelio,Urothelium
genitourinario,Upper
hilum,Renal
extremitas,kidney
segmenta,Renal
renalia,Renal
parénquima,Parenchymal Tissue
pirámide,pym
pirámides,VIII
basis,Base
pyramidis,Base
cribosa,Renal
adiposidad,Adiposis
bowman,Urinary
mesangiales,Mesangial
contorneado,Convoluted
densa,macula
bacinete,Bathinet
pieloureteral,UPJ
pelviureteral,UPJ
periureteral,Periureteral
uréteres,Both
obliterado,Obliterated
obliteradas,Lateral
interureterica,Interureteric
interuretérica,Interureteric
interureteral,Interureteric
vesicouretral,Vesicourethral
urethrae,Vesicourethral
internum,Vesicourethral
uvula,Uvula
orificios,Both
skene,skene
parauretrales,skene
laguna,Pond
montanum,Verumontanum
colículo,Verumontanum
utriculus,Utricle
prostaticus,Utricle
navicularis,Navicular
bulbouretrales,Bulbourethral
pelvianos,female
pudendi,Rima
navicular,Fossa
vaginae,Fossa
glans,glans
preputium,Female
cavernosum,Cavernous
pectiniforme,Septum
corporum,Septum
cavernosorum,Septum
clitorídeo,Clitoral
rugae,Vaginal
rugosa,Rugal
rugarum,Anterior
urethralis,Vaginal
carúnculas,Hymenal
himenales,Hymenal
intestinalis,Facies
grávido,gravid
uterus,horn
cornua,horn
uteri,Fundus
parametrio,Parametrium
úteros,Both
exocérvix,Exocervix
ectocérvix,Ectocervix
tenca,Tinca
exocervical,Exocervical
palmata,Plica
palmados,Plica
espiralada,Endometrial
loquios,Lochia
rojos,Lochia
cruentos,Lochia
blancos,White
purulentos,Lochia
sanguinolentos,Lochia
amarillos,Lochia
cotiledón,Cotyledon
liber,Margo
mesovaricus,Margo
albuginea,Tunica
cortex,Cortex
medulla,Medulla
prolígero,Cumulus
cumulus,Cumulus
oophorus,Cumulus
cúmulo,Cumulus
folliculi,Primary
ovarici,Primary
primarii,Primary
atrésico,Atretic
stroma,Stroma
paraovárica,Parovarian
periovárica,Parovarian
tubariae,Uterine
tubáricos,Uterine
pabellón,House annex
tubae,Infundibulum
fimbriae,Fimbria
tubáricas,Fallopian
epoóforo,Epoophoron
epooforo,Epoophoron
paraóforo,Paroophoron (F)
paraooforo,Paroophoron
paroophoron,Paroophoron
hemipene,Hemipenis
helicinae,Helicine
helicinas,Helicine
cavernosae,Venae
spongiosi,Trabeculae
glandis,Septum
prepucial,Inner
tyson,tyson
prostatae,Prostatic
inferolateralis,Inferolateral
prostatica,Prostate
excretor,Prostatic
periprostático,Periprostatic
espermáticas,Both
lobuli,Testis
lobulillos,Testis
parenchyma,Testis
highmore,Highmore's
highmoro,Highmore's
mediastinum,Highmore's
septula,Septa
tubuli,Convoluted
seminiferi,Convoluted
contorti,Convoluted
contorneados,Convoluted
conductillos,Convoluted
rectos,Tubuli
preespermatogonia,Prespermatogonia
espermatocito,Primary
ductuli,Efferent
efferentes,Efferent
(testicular),Tunica
epididymidis,Sinus
epididimario,Ligament
ductulus,Ductuli
aberrans,Ductuli
paradídimo,Paradidymis
paradidymis,Paradidymis
giraldés,Paradidymis
periepididimario,Periepididymal
epidídimos,Both
gubernaculum,Gubernacula
gubernáculo,Gubernacula
genitoinguinal,Genitoinguinal
scroti,Septum
dartos,Dartos layer of scrotum
ras,RAS
gangliocito,gangliocyte
meduloblasto,Medulloblast
neuroblástica,Medulloblast
neuroepitelio,Undifferentiated
diferenciada,Differentiating
axónico,Axon
neurópilo,Neuropil
neuropilo,Neuropil
espongioblasto,Glioblast
macroglia,Macroglia
macroglial,Macroglia
bergmann,Bergmann
protoplasmático,Protoplasmic
fibrilar,Fibrous
glial,Glial
ependimaria,Ependymocyte
bonnet,Bonnet
virchow-robin,Perivascular
cerebroventricular,Cerebroventricular
meníngeos,Meningeal
encefálicas,Cranial
tentorio,Tentorium
selar,Diaphragm
denticulatum,Dentate
piaracnoides,Leptomeninx
leptomeninges,Entire leptomeninges
aracnoideas,Arachnoid
granulaciones,Arachnoid
pacchioni,Arachnoid
verga,Cavum
semioval,sovc
convexa,Cerebral
interhemisférica,lf
rolando,cs
callosomarginal,callosomarginal
parietoccipital,Parietooccipital
preoccipital,pon
frontomarginal,Inferior
premotora,SMC
paracentral,paracentral
olfativo,Olfactory
supramarginal,SMG
subparietal,sbps
calcarino,ccs
calcar,cal
morand,cal
fusiforme,Fusiform
occipitotemporal,T4
alveus,alv
fimbriodentado,fdf
hipocámpico,PHG
parahipocampal,PHG
uncus,un
intralímbica,Intralimbic
rinal,rhs
brevis,Anterior
insulae,Anterior
córteza,OpCx
opercular,OpCx
arciformes,U
frontotemporal,Uncinate
temporoccipital,external
frontoccipital,subcallosal
perpendicular,Fasciculus
geniculocalcarino,Optic
paraolfatoria,SCG
columnas,bfx
optoestriados,Opto-striate
corticorrubrales,corticorubral
anterodorsal,AD
reuniens,Re
intralaminar,ILG
centromediano,CMn
parafascicular,PF
endopeduncular,Endopeduncular
entopeduncular,Endopeduncular
estriados,StT
magnocelular,Magnocellular
magnocelulares,Magnocellular
supraóptico-hipofisario,soh
hipotalamicohipofisario,Hypothalamohypophysial
hipotalámico-hipofisario,Hypothalamohypophysial
paramamilar,Paramammillary
mamilotegmental,mtg
tuberomamilar,TM
mamiloinfundibular,TM
supramamilar,SuM
periventriculares,Diencephalic
diencefálicas,Diencephalic
hipotalamicotalámico,Hypothalamicothalamic
retroflexo,fr
habenulopeduncular,fr
periacueductal,PAG
tectopontinas,tp
tectorreticulares,tectoreticular
edinger-westphal,PC3
darkschevitsch,PrC
nigroestriado,comb
nigroestriadas,comb
nigrotalámicas,nigrothalamic
talamolivar,ctg
rubrolivar,Rubroolivary
pontino,PTg
rasmussen,ocb
olivococlear,ocb
gower,vsc
neocerebelo,Neocerebellum
folia,folium
poslingual,pce
poslingular,pce
intraculminata,icu
vermis,vermis
paleocerebelo,Archicerebellum
declive,VI
intrapiramidal,ipyf
lobulus,Sim
simplex,Sim
poslunar,psf
paramediano,GrL
prebiventral,ppyf
prepiramidal,ppyf
fastigiobulbar,Fastigiobulbar
funículo,Inner
scriptorius,clst
calamus,Calamus
postrema,AP
talamolivares,Thalamoolivary
tálamo-olivares,Thalamoolivary
olivocerebelosas,oc
clava,grt
roller,SLg
propio,Proper
schultze,Tract
septomarginal,Hoche's
espinorrubral,Lateral
espinotalámico,dorsal
espinotectal,Spinotectal
lissauer,Zona
dorsolateral,Dorsolateral
reticuloespinal,Pontoreticulospinal
externum,Coccygeal
jacobson,Jacobson
probst,me5
infratroclear,N.
etmodial,N.
pterigopalatino,Pterygopalatine
maseterino,N.
masetérico,N.
auriculotemporal,N.
intermediario,Broker
arnold,Arnold's
supraclavicular,Supraclavicular
supraclaviculares,Supraclavicular
frénicos,Accessory
martin-gruber,Martin-Gruber
circunflejo,Axillary
toracodorsal,Thoracodorsal
intercostohumeral,Intercostobrachial
intercostobraquial,Intercostobrachial
iliohipogástrico,Iliopubic
abdominogenital,Iliopubic
ilioinguinal,Ilioinguinal
genitocrural,Genitocrural
genitofemoral,Genitocrural
femorocutáneo,Lateral
nervus,Superior
gluteus,Superior
anococcígeo,N.
comunicantes,White
grises,Gray
carotídeos,External
"esplácnico,",Renal
sacros,Sacral
erectores,Nervi
intermesentérico,Intermesenteric
"ganglio,",Superior
"plexo,",Adrenal
aorticorrenales,Aorticorenal
hipogástricos,Hypogastric
esfenopalatino,Meckel's
subtenoniano,Subtenon
hialoide,Hyaloid
hialoidea,Hyaloid
schlemm,Schlemm
episclerótica,Episclera
epiesclerótica,Episclera
supracoroidea,"Sclera,"
rollo,Scleral
huesecillo,Scleral
fontana,Fontana's
pericoroidal,Perichoroidal
supracoroideo,Perichoroidal
tapetum,Tapetum
cellulosum,Tapetum
haller,Haller
coriocapilar,Choriocapillaris
coroidocapilar,Choriocapillaris
vorticosas,vortex
aberrante,Aberrant
serrata,Ora
neuroepitelial,Neuroepithelial
amacrinas,amacrine
zónula,Lens
iridocorneal,Drainage
epicanto,Epicanthus
palpebronasal,Epicanthus
rivus,Rivus
ferrein,Rivus
hasner,Lacrimal
nasolagrimales,Both
antihélice,Antihelix
antehélix,Antihelix
antehélice,Antihelix
intertragal,Intertragic
cimba,Cymba conchae
antitragohelicina,Fissura
antihelicino,Transverse
intrínsecos,Intrinsic
ceruminal,Ceruminal
ceruminosa,Ceruminal
prussak,Prussak
timpanomastoideo,Antral
epitímpano,Attic
nicho,Attic
epitimpánico,Attic
mesotímpano,Mesotympanum
incudomalear,Incudomallear
celdilla,Mastoid
mastoideo,Mastoid
gutural,Guttural
utriculosacular,Utricosaccular
cúpula,Dome shape
hensen,Hensen
claudio,Clear
reissner,Spiral
rosenthal,Rosenthal's
helicotrema,Helicotrema
criba,Tractus
espiroidea,Tractus
cortilinfa,Cortilymph
acidófila,Pituitary
pituicito,Pituicyte
herring,Herring
rathke,Rathke
craneofaríngeo,Hypophyseal
faringohipofisario,Hypophyseal
arenácea,Pineal
periadrenal,Periadrenal
perisuprarrenal,Periadrenal
glómica,Glomus
lubschka,Coccygeal
lobus,Pyramidal
pyramidalis,Pyramidal
lalouette,Pyramidal
wasserhelle,Parathyroid
histioblasto,Histoblast
linfoblasto,lymphoblast
linfocitoblasto,lymphoblast
prolinfocito,Prolymphocyte
pironinófila,Pyroninophilic
eritropoyético,Erythrocytic
prorrubricito,Prorubricyte
rubricito,Rubricyte
policromatófilo,Rubricyte
sideroblasto,Sideroblast
siderocito,Siderocyte
mielopoyético,Myelopoietic
mieloblasto,myeloblast
mieloblastos,myeloblast
metamielocito,Metamyelocyte
mielocito,Myelocyte
megacarioblasto,Megakaryoblast
promegacariocito,Promegakaryocyte
monoblasto,monoblast
monoblastos,monoblast
promonocito,Promonocyte
promonocitos,Promonocyte
plasmoblasto,Plasmablast
proplasmocito,Proplasmacyte
mielomonocito,Myelomonocyte
promielomonocito,Promyelomonocyte
mielomonoblasto,Myelomonoblast
extracorporeal,Extracorporeal
"extracorpórea,",Extracorporeal
hemodializadora,Hemodialyzate
trabécula,Splenic
sinusoides,Sinusoid
esplénicos,Splenic
hemolinfático,Hemolymph
periesplénica,Perisplenic
esplénicas,Splenic
elipsoides,Ellipsoid
penicilos,Penicilli
penicilares,Penicilli
peniciladas,Penicilli
conglomerado,Occipital
linfoganglionar,Occipital
retroauricular,Postauricular
buccinatorio,Buccinator
submentoniano,Submental
prelaríngeo,Nodi
delfiano,Delphic
pretraqueal,Pretracheal
infraclaviculares,Deltopectoral
subclavicular,Deltopectoral
prevertebral,Prevertebral
prepericárdico,Prepericardial
intrapulmonar,Intrapulmonary
paratraqueal,Paratracheal
paraesternal,Parasternal
supramamario,Supramammary
innominado,Brachiocephalic
yuxtaintestinal,Juxtaintestinal
gastromental,JPS
gastroepiploico,JPS
suprapilórico,JPS
subpilórico,JPS
retropilórico,Retropyloric
pancreatoesplénico,JPS
ileocólico,Ileocolic
mediocólico,JPS
prececal,Prececal
subilíaco,Subiliac
interilíaco,Interiliac
parametrial,Parametrial
epigástrico,Epigastric
presinfisial,Presymphysial
paravesicular,Paravesicular
prevesicular,Prevesicular
posvesicular,Postvesicular
paravaginal,Paravaginal
pararrectal,Pararectal
centroaxilar,Central
paramamario,Paramammary
epitroclear,Epitrochlear
prefemoral,Prefemoral
subinguinal,Subinguinal
supramigdalina,Supratonsillar
glosopalatino,Palatoglossal
faringopalatino,Pharyngopalatine
cripta,Tonsil
periamigdalino,Peritonsillar
profundos,Deep
quilífero,Lacteal
intraganglionar,Lymph
hassal,Hassall's
hassall,Hassall's
desconocida,Site
entero,Whole
carcaza,Carcass
topográficos,Multiple
reflexógena,Trigger
mente,mind
siquis,mind
psiquis,Entire psyche
conciente,Conscious mind
subgaleal,Subgaleal
sien,temple
infratemporal,Infratemporal
infrauricular,Infraauricular
epicráneo,Entire epicranium
hemicara,face
infrapalpebral,Infrapalpebral
pterigopalatina,Pterygopalatine
morro,Snout
cotillo,Poll
clinoideo,Middle
clinoidea,Middle
supraselar,Suprasellar
retrorbitaria,Retrobulbar
pterigoide,Pterygoid
escalénica,Scalene
(cuello),Scalene
cintura,Waist
paralumbar,Paralumbar
infraclavicular,Infraclavicular
submamaria,Submammary
aleta,Fin
crena,Crena
interglúteo,Crena
hemitórax,Right
plastrón,Plastron
víscera,Viscera
precordio,Entire precordium
precordial,Precordium
estrecho,Thoracic
desfiladero,Gorge
toracobraquial,Thoracic
infraesternal,Subcostal
cuadrante,quadrant
inframamaria,Inframammary
epigastrio,Epigastrium
(región,Epigastrium
superficial),Epigastrium
hipocondrio,Hypochondriac region
mesogástrica,Mesogastric
hipogastrio,Pubic region
monte,Mons
venus,Venus
infrapúbica,Infrapubic
infrapubiana,Infrapubic
subperitoneal,Subperitoneal
supramesocólica,Supramesocolic
inframesocólica,Inframesocolic
gastropancreático,Gastropancreatic
gastropancreáticos,Gastropancreatic
duodenomesocólico,Duodenomesocolic
paraduodenal,Paraduodenal
retroduodenal,Retroduodenal
gastrocólico,Gastrocolic
gastrolienal,Gastrolienal
gastroesplénico,Gastrolienal
gastrofrénico,Gastrophrenic
gastrohepático,Gastrohepatic
frenicocólico,Phrenicocolic
lienorrenal,Lienorenal
frenicolienal,Lienorenal
hepatoduodenal,Hepatoduodenal
hepatocólico,Hepatocolic
mesoapéndice,Mesoappendix
paracólica,Paracolic
intersigmoideo,Intersigmoid
antropoide,Dolichopellic
androide,Android
ginecoide,Mesatipellic
platipeloide,Platypellic
pelvianas,Pelvic
extragenitales,Pelvic
retrovaginal,Retrovaginal
uterovesical,Uterovesical
paravesical,Paravesical
vesicouterina,Uterovesical
rectouterino,Fold
uterosacro,Ligaments
sacrogenital,Sacrogenital
uterovárico,ovary
mesovario,Mesovarium
mesosalpinge,Mesosalpinx
mesosálpinx,Mesosalpinx
infundibulopélvico,Infundibulopelvic
infundibulopelviano,Infundibulopelvic
mesometrio,Mesometrium
mackenrodt,Cardinal
uteropélvico,Uteropelvic
uteropelviano,Uteropelvic
hesselbach,Inguinal
extremidades,Both
axilares,Axillary
deltoidea,Deltoid
brazos,Arm
antecubital,Antecubital
guyon,Guyon
delanteras,Both
"índice,",Forefinger
meñique,Pinkie
muslos,Both
rodillas,Both
pantorrilla,Calf
tobillos,Both
hindfoot,Hindpaw
trasera,Hindpaw
empeine,Instep
traseras,Both
cuartilla,Pastern
mitótica,Mitotic
metafase,Metaphase
anafase,Anaphase
envoltura,Wrapping
"nuclear,",Nuclear
evaginación,bulging
seudoinclusión,Cytoplasmic
pseudoinclusión,Cytoplasmic
"diafragma,",Nuclear
perinucleolar,Perinucleolar
pericromatina,Perichromatin
intercromatina,ICG
nucleolonema,Nucleolonema
nucleolino,Nucleolinus
capuchón,Nucleolar
intranuclear,Intranuclear
"cristalina,",Intranuclear
intranucleares,Intranuclear
"filamentosa,",Intranuclear
"laminillar,",Intranuclear
"tubular,",Intranuclear
"intranuclear,",Simple
filamentoso,Simple
conexión,Connection
zonula,AJ
adherens,AJ
autodesmosoma,Autodesmosome
intracitoplasmático,Intracytoplasmic
hemidesmosoma,Hemidesmosome
hemidesmosomas,Hemidesmosome
cementosoma,Cementsome
tabicada,Septate
prolongación,Cell
estereocilio,Stereocilia
estereocilios,Stereocilia
filipodio,Filipodium
lamelipodio,Lamellipodia
lamelipodios,Lamellipodia
urópodo,Uropod
vermipodio,Vermipodium
axópodo,Axopod
pedicelo,Pedicel
intracitoplasmática,Intracytoplasmic
caveolas,Caveola
micropinocitótica,Caveola
cavéola,Simple caveola
rofeocitósica,Rhopheocytotic
antenas,Antennulae
microvellosas,Antennulae
"celular,",Cell
eucariótica,Cell
paracristalina,Cytoplasmic
exocrino,Exocrine
cimógenos,Zymogen
neurosecretor,Neurosecretory
premelanosoma,Premelanosome
"melanosoma,","Melanosome,"
melanización,"Melanosome,"
incompleta,"Melanosome,"
birbeck,Birbeck
citosoma,Cytosome
queratohialínico,Keratohyaline
queratinosoma,Odland body
odland,Odland
lamelares,Odland
lipídicas,adiposome
vacuola,adiposome
"lípido,",Crystalline
miosinoides,12
difusos,Diffuse
tonofibrillas,tonofibril
polos,Spindle
"triplete,",Triplet
centriolo,Triplet
"centríolo,",Triplet
microtubular,Triplet
procentríolo,Procentriole
"satélite,",centriolar
centriolar,centriolar
cinetosoma,Kinetosome
blefaroplasto,Kinetosome
rudimentario,Rudimentary
"flagelo,","Flagellum,"
abacteriano,"Flagellum,"
axonema,Axoneme
axonémico,Axoneme
"sensitivo,",Olfactory
condensación,Inspissation
"endoplásmico,",ER
"endoplasmático,",ER
intracisternal,Intracisternal
"intracisternal,",Intracisternal
endoplásmico,GER
rugoso,GER
endoplasmático,GER
laminilla,Annulate
"sináptica,",Synaptic
citoplásmica,Synaptic
siderosoma,Siderosome
telolisosoma,Telolysosome
lipofucsina,Telolysosome
autolisosoma,AVd
citolisosoma,AVd
crinofagocítica,Crinophagocytic
multivesicular,MVE
multivesiculares,MVE
"multivesicular,",Multivesicular
proacrosómico,Proacrosomal
nucleoide,Microbody
crestas,cristae
mitocondriales,cristae
compactas,Close
intramitocondrial,Matrix
desoxirribonucleico,Intramitochondrial
metabolito,Metabolite
condrioesfera,Chondriosphere
protofibrillas,Collagen
"basal,",Basal
procariótico,Prokaryotic
procariótica,Cell
macrocápsula,Macrocapsule
"bacteriano,","Flagellum,"
protoplasto,Protoplast
mesosoma,Mesosome
contenidos,Cell
"celulares,",Cell
procarióticos,Cell
"citoplasma,","Cytoplasm,"
"ribosoma,","Ribosome,"
"granulosa,",Granular
euterio,Eutheria
euterios,Eutheria
eutheria,Eutheria
citotrofoblasto,Cytotrophoblast
citotrofoblastos,Cytotrophoblast
coriónico,Chorionic
intervelloso,Intervillous
inmaduras,Immature
maduras,Mature
mesenquimático,Mesenchymal
hirsuto,Placental
frondoso,Placental
subcoriónico,Subchorionic
descamadas,Desquamated
alantoide,Allantoic
amnióticas,Amniotic
fetomaternal,placental
nitabuch,Nitabuch's
heuser,Heuser's
exocelómica,Heuser's
mesoblasto,Extraembryonic
extraembrionario,Extraembryonic
mesogastrio,Dorsal mesogaster
penetrado,Penetrated
ovótido,Ootid
presomita,Embryo
trilaminar,Embryo
somítico,Embryo
paráfisis,Paraphysis
parafisiario,Paraphysis
metencéfalo,Met
mielencéfalo,Myelencephalon
miótomo,Myotome
primordial,Gonocyte
germinativa,Gonocyte
pronefro,Pronephros
pronefros,Pronephros
metanefros,Metanephros
metanéfrica,metanephroi
proctodeo,Entire proctodeum
urodeo,Urodeum
cloacal,Anal
posbranquial,Postbranchial
onfalomesentérica,Vitelline
cojinete,Endocardial
cojinetes,Endocardial
endocárdicos,Endocardial
atrioventriculares,Atrioventricular
cuvier,Duct
cardinal,Duct
subcardinal,Subcardinal
intersubcardinal,Intersubcardinal
supracardinal,Supracardinal
hertwig,Hertwig's
seessel,Seessel's
preoral,Seessel's
tirolingual,Thyroglossal
craneobucal,Fetal
atloidea,Fetal
condrocráneo,Fetal
bóveda,Fetal
bregma,Fetal
occipucio,Fetal
fetal(sustancia),fetal
intersegmentaria,Seventh
funcionamiento,Alive
handicap,Handicap
minusvalía,Handicap
inválido,Invalid
invalidez,Invalid
insuficiente,Insufficient
ineficacia,Inefficiency
descompensación,Decompensation
ineptitud,Incompetence
idiosincrasia,Idiosyncrasy
intolerante,intolerant
propenso,Susceptible
vulnerable,Susceptible
susceptible,Susceptible
"problema,","Problem,"
functio,Functio
laesa,Functio
sintomático,Symptomatic
asintomático,symptomless
agotador,Exhausting
[d]agotamiento,Senile
cansador,Tiring
fatigabilidad,Fatigability
fluctuación,Fluctuance
fluctuante,Fluctuant
fluctuando,fluctuate
dificultad,Difficulty
adelgazar,Weight
facticia,Factitious
autoinducida,Factitious
poiquilotermia,Poikilothermy
posinfeccioso,Postinfectious
postinfeccioso,Postinfectious
después,SP
posvacunación,Postvaccination
posinoculación,Postvaccination
postransfusión,Posttransfusion
postransfusional,Posttransfusion
"portador,","Carrier,"
expresada,"Carrier,"
stress,Increased
aflicción,Distress
cronobiológico,Chronobiologic
cronobiológica,Chronobiologic
desfase,jetlag
horario,jetlag
infradiano,Infradian
semanal,QS
circaseptano,Weekly
mensual,Month
circatrentano,Monthly
anual,Annual
circanual,Yearly
discronismo,Biorhythm
niñez,Childhood
infancia,Childhood
senilidad,Senium
vejez,aged
precocidad,Physical
prematura,Premature
evacuación,Evacuation
contracturas,Po
decisional,Decisional
(específico),Decisional
autopercepción,Self-view
anticipación,Anticipatory
"anticipatoria,",Anticipatory
(pánico),Panic
(rechazo),Social
potencialmente,Po
(musculoesquelético),Musculoskeletal
hipomovilidad,hypomobility
inmovilidad,Musculoskeletal
inmóvil,Immobile
ampliado,Extended
flexión,Flexed
hiperflexión,Hyperflexion
hipoflexión,Decreased flexion
abducción,Abduction
abeducción,Abduction
aducción,Adduction
rotado,rotate
circunducción,Circumduction
bipedestaciones,Standing
arrodilla,Does
encorvada,Z-shaped
inclinada,Z-shaped
cock-robin,Cock-robin
attitude,Cock-robin
intermaleolar,Intermalleolar
antálgica,Antalgic
recíproca,Reciprocal
reinervación,Reinnervation
flácido,Flaccid
fláccido,Flaccid
paratonía,Paratonia
incoordinación,uncoordinated
descoordinación,uncoordinated
[d]incoordinación,Muscular
tenalgia,Tenalgia
tenodinia,Tenalgia
